,Movie Name,Movie Link,IMDB Rating,Running Time,Director,Release Date,Country,Votes,Meta score,Summary,First writer,First actor,Genre,Censor_Board_Rating
0,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3,2h 22min,Frank Darabont,14 October 1994 (USA),USA,"2,351,347",80,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Stephen King,Tim Robbins,Drama,14A
1,The Godfather,https://www.imdb.com/title/tt0068646/,9.2,2h 55min,Francis Ford Coppola,24 March 1972 (Canada),USA,"1,627,012",100,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Mario Puzo,Marlon Brando,Crime,18A
2,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,9,3h 22min,Francis Ford Coppola,18 December 1974 (Canada),USA,"1,134,095",90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Al Pacino,Crime,PG
3,The Dark Knight,https://www.imdb.com/title/tt0468569/,9,2h 32min,Christopher Nolan,18 July 2008 (Canada),USA,"2,311,046",84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Jonathan Nolan,Christian Bale,Action,PG
4,12 Angry Men,https://www.imdb.com/title/tt0050083/,9,1h 36min,Sidney Lumet,13 April 1957 (Canada),English,"692,768",96,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Reginald Rose,Henry Fonda,Crime,PG
5,Schindler's List,https://www.imdb.com/title/tt0108052/,8.9,3h 15min,Steven Spielberg,25 December 1993 (Canada),USA,"1,217,303",94,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Thomas Keneally,Liam Neeson,Biography,PA
6,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,8.9,3h 21min,Peter Jackson,17 December 2003 (Canada),New Zealand,"1,647,823",94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,J.R.R. Tolkien,Elijah Wood,Action,14A
7,Pulp Fiction,https://www.imdb.com/title/tt0110912/,8.9,2h 34min,Quentin Tarantino,14 October 1994 (Canada),USA,"1,832,731",94,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,John Travolta,Crime,16+
8,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,8.8,2h 41min,Sergio Leone,23 December 1966 (Italy),Italian,"690,613",90,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Luciano Vincenzoni,Clint Eastwood,Western,14+
9,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,8.8,2h 58min,Peter Jackson,19 December 2001 (Canada),New Zealand,"1,666,960",92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,J.R.R. Tolkien,Elijah Wood,Action,14A
10,Fight Club,https://www.imdb.com/title/tt0137523/,8.8,2h 19min,David Fincher,15 October 1999 (Canada),Germany,"1,861,358",66,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Chuck Palahniuk,Brad Pitt,Drama,R
11,Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8,2h 22min,Robert Zemeckis,6 July 1994 (Canada),USA,"1,816,560",82,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Winston Groom,Tom Hanks,Drama,PG
12,Inception,https://www.imdb.com/title/tt1375666/,8.8,2h 28min,Christopher Nolan,16 July 2010 (Canada),USA,"2,075,029",74,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan,Leonardo DiCaprio,Action,PG
13,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,8.7,2h 59min,Peter Jackson,18 December 2002 (Canada),New Zealand,"1,490,249",87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",J.R.R. Tolkien,Elijah Wood,Action,PA
14,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,8.7,2h 4min,Irvin Kershner,21 May 1980 (Canada),USA,"1,162,896",82,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Leigh Brackett,Mark Hamill,Action,G
15,The Matrix,https://www.imdb.com/title/tt0133093/,8.7,2h 16min,Lana Wachowski,31 March 1999 (USA),USA,"1,682,397",73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lilly Wachowski,Keanu Reeves,Action,14A
16,Goodfellas,https://www.imdb.com/title/tt0099685/,8.7,2h 26min,Martin Scorsese,19 September 1990 (Canada),USA,"1,024,922",90,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Nicholas Pileggi,Robert De Niro,Biography,14A
17,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,8.7,2h 13min,Milos Forman,19 November 1975 (USA),English,"920,867",83,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Lawrence Hauben,Jack Nicholson,Drama,13+
18,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,8.6,3h 27min,Akira Kurosawa,26 April 1954 (Japan),Japanese,"316,753",98,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,Toshirô Mifune,Action,PG
19,Se7en,https://www.imdb.com/title/tt0114369/,8.6,2h 7min,David Fincher,22 September 1995 (Canada),USA,"1,450,943",65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Andrew Kevin Walker,Morgan Freeman,Crime,AA
20,La vita è bella,https://www.imdb.com/title/tt0118799/,8.6,1h 56min,Roberto Benigni,6 November 1998 (Canada),Italy,"625,976",,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Vincenzo Cerami,Roberto Benigni,Comedy,PG
21,Cidade de Deus,https://www.imdb.com/title/tt0317248/,8.6,2h 10min,Fernando Meirelles,30 August 2002 (Brazil),Brazil,"701,047",79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Paulo Lins,Alexandre Rodrigues,Crime,18A
22,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,8.6,1h 58min,Jonathan Demme,14 February 1991 (USA),USA,"1,275,334",85,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Thomas Harris,Jodie Foster,Crime,18+
23,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,8.6,2h 10min,Frank Capra,7 January 1947 (USA),USA,"407,079",89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frances Goodrich,James Stewart,Drama,G
24,Star Wars,https://www.imdb.com/title/tt0076759/,8.6,2h 1min,George Lucas,25 May 1977 (USA),USA,"1,235,052",90,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,Mark Hamill,Action,14
25,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,8.6,2h 49min,Steven Spielberg,24 July 1998 (Canada),USA,"1,240,100",91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Robert Rodat,Tom Hanks,Drama,14A
26,The Green Mile,https://www.imdb.com/title/tt0120689/,8.6,3h 9min,Frank Darabont,10 December 1999 (Canada),USA,"1,152,328",61,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Stephen King,Tom Hanks,Crime,14A
27,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,8.6,2h 5min,Hayao Miyazaki,20 July 2001 (Japan),Japan,"654,732",96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Daveigh Chase,Animation,PG
